Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep
9592,2023-04-17,Bob,South,205537.36,49,Furniture,2903.14,4194.64,Returning,0.08,Bank Transfer,Retail,South-Bob
6396,2023-07-18,Alice,West,18920.25,15,Clothing,1038.07,1261.35,Returning,0.16,Credit Card,Retail,West-Alice
1248,2023-01-07,Alice,West,129601.32,46,Electronics,2193.02,2817.42,Returning,0.16,Credit Card,Retail,West-Alice
9691,2023-02-16,Eve,North,194814.45,45,Furniture,3026.54,4329.21,New,0.03,Bank Transfer,Retail,North-Eve
7417,2023-02-15,Alice,East,82646.82,23,Electronics,2670.28,3593.34,Returning,0.01,Cash,Online,East-Alice
4323,2023-12-15,Charlie,West,133866.0,50,Electronics,2204.25,2677.32,Returning,0.06,Cash,Online,West-Charlie
4212,2023-04-14,Charlie,East,3517.43,7,Food,359.66,502.49,New,0.25,Bank Transfer,Retail,East-Charlie
8986,2023-03-25,Eve,South,14267.76,12,Electronics,873.71,1188.98,New,0.22,Bank Transfer,Retail,South-Eve
4975,2023-05-04,Alice,North,49533.28,16,Electronics,2387.16,3095.83,New,0.06,Bank Transfer,Retail,North-Alice
9431,2023-10-20,Alice,South,42371.28,24,Clothing,1280.06,1765.47,New,0.02,Credit Card,Online,South-Alice
4220,2023-10-25,Eve,South,101870.34,22,Furniture,3656.98,4630.47,New,0.21,Credit Card,Retail,South-Eve
2968,2023-01-09,Eve,North,4275.3,10,Clothing,326.39,427.53,New,0.12,Cash,Retail,North-Eve
6008,2023-07-15,Alice,East,273228.96,46,Clothing,4240.77,5939.76,New,0.01,Cash,Online,East-Alice
1285,2023-09-03,Alice,South,162930.12,29,Clothing,4497.96,5618.28,New,0.06,Cash,Online,South-Alice
7044,2023-08-02,Alice,South,22964.1,41,Clothing,454.44,560.1,Returning,0.05,Bank Transfer,Retail,South-Alice
8575,2023-04-16,Alice,West,13548.08,4,Clothing,2876.17,3387.02,New,0.22,Bank Transfer,Online,West-Alice
6039,2023-10-30,Alice,North,268456.95,45,Food,4863.41,5965.71,New,0.1,Cash,Retail,North-Alice
4005,2023-06-18,Charlie,West,11460.9,6,Clothing,1506.08,1910.15,Returning,0.2,Cash,Online,West-Charlie
9356,2023-09-27,Eve,North,65720.77,43,Furniture,1174.99,1528.39,Returning,0.09,Credit Card,Online,North-Eve
1723,2023-06-08,Alice,South,76739.19,33,Clothing,1929.34,2325.43,Returning,0.26,Credit Card,Retail,South-Alice
3725,2023-04-30,David,West,94781.26,14,Clothing,4980.74,6770.09,Returning,0.14,Credit Card,Online,West-David
3861,2023-10-27,Eve,North,5438.64,3,Clothing,1498.86,1812.88,New,0.27,Credit Card,Online,North-Eve
3519,2023-05-16,Eve,East,82086.27,49,Electronics,1304.75,1675.23,Returning,0.26,Cash,Online,East-Eve
5153,2023-09-06,Charlie,East,176726.88,44,Electronics,3250.3,4016.52,New,0.13,Credit Card,Retail,East-Charlie
3960,2023-02-24,Charlie,East,8541.68,49,Food,152.52,174.32,New,0.18,Cash,Retail,East-Charlie
3463,2023-02-18,Charlie,West,85279.14,29,Electronics,2217.7,2940.66,New,0.03,Bank Transfer,Online,West-Charlie
7307,2023-03-27,Charlie,West,16931.36,29,Electronics,434.15,583.84,New,0.0,Cash,Retail,West-Charlie
3208,2023-11-07,David,East,121439.43,21,Clothing,3881.21,5782.83,New,0.13,Cash,Retail,East-David
5922,2023-04-25,Charlie,South,71044.35,39,Electronics,1445.79,1821.65,New,0.04,Cash,Retail,South-Charlie
5483,2023-08-11,Eve,East,28644.03,9,Furniture,2412.1,3182.67,New,0.3,Bank Transfer,Online,East-Eve
4673,2023-07-10,David,South,18576.04,28,Furniture,483.01,663.43,Returning,0.24,Bank Transfer,Retail,South-David
7508,2023-10-14,Alice,North,42557.67,27,Furniture,1173.77,1576.21,New,0.28,Cash,Retail,North-Alice
6206,2023-10-17,Eve,South,82579.84,28,Food,2390.94,2949.28,Returning,0.02,Credit Card,Retail,South-Eve
9348,2023-02-06,Eve,East,27886.51,47,Food,489.05,593.33,Returning,0.16,Bank Transfer,Retail,East-Eve
1246,2023-01-12,Charlie,East,169703.37,43,Electronics,2838.29,3946.59,New,0.05,Credit Card,Retail,East-Charlie
8175,2023-11-16,Charlie,North,99344.7,39,Electronics,1998.79,2547.3,New,0.11,Bank Transfer,Retail,North-Charlie
8736,2023-04-11,Alice,South,164268.16,37,Food,3079.0,4439.68,New,0.05,Credit Card,Online,South-Alice
1117,2023-03-16,Eve,South,2665.53,3,Food,597.41,888.51,Returning,0.12,Credit Card,Online,South-Eve
8543,2023-02-22,Bob,West,85672.07,47,Food,1462.0,1822.81,New,0.26,Bank Transfer,Retail,West-Bob
8345,2023-08-04,Bob,West,81141.85,17,Furniture,3578.35,4773.05,New,0.13,Bank Transfer,Retail,West-Bob
9171,2023-12-29,Charlie,West,92511.72,42,Electronics,1477.34,2202.66,New,0.25,Credit Card,Retail,West-Charlie
4354,2023-10-03,Charlie,West,124737.51,23,Electronics,4061.12,5423.37,Returning,0.24,Cash,Retail,West-Charlie
8885,2023-03-06,Eve,East,266770.08,48,Clothing,4258.17,5557.71,Returning,0.04,Cash,Online,East-Eve
